instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order,block_sequence.order
9.99999E-05,17.8392,space,17.8302,,,,,,,,049113,001,2024-02-01_12h28.13.835,corsi_blocks,2023.2.2,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,049113,001,2024-02-01_12h28.13.835,corsi_blocks,2023.2.2,Win32,59.17159763,17.8476,"[[-0.4075,0.11875],[-0.35125,0.36625],[0.57875,-0.31375],[-0.09875,0.065],[-0.55125,-0.13375],[0.25625,0.0975],[0.54,0.03625],[-0.285,-0.27125],[-0.45875,-0.3]]",18.346,18.3472,18.8479,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,049113,001,2024-02-01_12h28.13.835,corsi_blocks,2023.2.2,Win32,59.17159763,,,,18.8484,19.3493,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,049113,001,2024-02-01_12h28.13.835,corsi_blocks,2023.2.2,Win32,59.17159763,,,,19.3497,19.8508,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,049113,001,2024-02-01_12h28.13.835,corsi_blocks,2023.2.2,Win32,59.17159763,,,,,,,,,,,19.8514,27.2819,"[-0.4074074074074074,-0.362962962962963,0.5962962962962963,0.5027777777777778]","[0.08981481481481482,0.3277777777777778,-0.28703703703703703,-0.3962962962962963]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[4.7647999999523165,5.817999999999998,6.503699999928479,7.429099999904636]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,27.2822,28.2794,0,0,0,0,1,,
,,,,,,,,,,,049113,001,2024-02-01_12h28.13.835,corsi_blocks,2023.2.2,Win32,59.17159763,28.2799,"[[0.30125,-0.0175],[-0.45875,-0.3],[-0.18625,0.41125],[-0.12125,-0.12625],[0.4625,0.35875],[-0.4075,0.11875],[0.16625,0.3825],[-0.68625,-0.225],[0.0675,0.07375]]",28.7809,28.7816,29.2826,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,049113,001,2024-02-01_12h28.13.835,corsi_blocks,2023.2.2,Win32,59.17159763,,,,29.2829,29.7842,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,049113,001,2024-02-01_12h28.13.835,corsi_blocks,2023.2.2,Win32,59.17159763,,,,29.7844,30.286,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,049113,001,2024-02-01_12h28.13.835,corsi_blocks,2023.2.2,Win32,59.17159763,,,,30.2863,30.7879,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,049113,001,2024-02-01_12h28.13.835,corsi_blocks,2023.2.2,Win32,59.17159763,,,,,,,,,,,30.7879,34.7343,"[0.3037037037037037,-0.4287037037037037,-0.13425925925925927,-0.2037037037037037,0.5212962962962963]","[-0.03518518518518519,-0.2833333333333333,-0.13055555555555556,0.4305555555555556,-0.3851851851851852]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.353500000000004,1.9893999999761576,2.6415000000000006,3.2603999999761584,3.945599999904637]","[""blk1"",""blk2"",""blk4"",""blk3""]","[1,1,0,0]",0,34.7347,35.7377,1,0,1,0,1,,
