instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order,block_sequence.order
0.0002,3.9631,,0.402777778,-0.208333333,1,0,0,3.9583,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,3.9689,"[[0.57875,-0.31375],[-0.485,0.34625],[-0.55125,-0.13375],[0.4125,-0.1325],[-0.68625,-0.225],[-0.675,0.29875],[0.62875,-0.1825],[0.03125,-0.41],[-0.3575,-0.05625]]",4.4618,4.4629,4.962,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,4.9624,5.4619,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,5.4622,5.9616,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,,,,,,,,5.962,10.9113,"[0.5898147865577981,-0.45462961550112124,-0.5314814602887189,0.5268519366229022]","[-0.3249999858714916,0.3055555555555556,-0.10370374608922887,-0.40185186598036027]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.9320000000000004,2.615,3.2481000000014912,4.94780000000447]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,10.9119,11.911,0,0,0,0,1,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,11.9112,"[[-0.285,-0.27125],[-0.12125,-0.12625],[0.05875,-0.0575],[-0.3575,-0.05625],[0.03125,-0.41],[-0.24625,0.04375],[-0.35125,0.36625],[0.62875,-0.1825],[-0.6025,0.0725]]",12.4112,12.4119,12.9107,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,12.911,13.4107,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,13.411,13.911,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,13.9113,14.4108,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,,,,,,,,14.411,17.144,"[-0.27962960137261283,-0.1462962539107711,0.06203707942256221,-0.35462962256537545,0.5490741023310909]","[-0.2611111534966363,-0.15185186598036024,-0.06296295589870876,-0.0712963033605505,-0.41296294883445456]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6156000000014892,0.9156000000014899,1.1823000000044708,1.6826000000014893,2.7322000000029796]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,17.1443,18.1432,1,0,1,0,1,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,18.1435,"[[0.62875,-0.1825],[-0.6025,0.0725],[-0.55125,-0.13375],[-0.35125,0.36625],[-0.09875,0.065],[-0.24625,0.04375],[0.1925,-0.295],[0.28875,0.39875],[-0.26625,0.235]]",18.6432,18.6438,19.1438,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,19.144,19.6318,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,19.632,20.1268,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,050781,001,2024-01-04_12h35.08.007,corsi_blocks,2023.2.2,Win32,60.60606061,,,,20.1271,,3,0,3,0,1,,,,,,,,,,,,,,2,0,2,0,1,999,4
