instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order
0.0003,5.8852,space,5.8636,,,,,,,,1,001,2023-11-01_10h38.58.082,corsi_blocks,2023.2.2,Win32,143.7607821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2023-11-01_10h38.58.082,corsi_blocks,2023.2.2,Win32,143.7607821,5.8981,"[[-0.45875,-0.3],[-0.35125,0.36625],[-0.01875,0.235],[0.62875,-0.1825],[-0.6025,0.0725],[-0.12125,-0.12625],[0.57875,-0.31375],[0.05875,-0.0575],[0.0675,0.07375]]",6.3912,6.3929,6.8915,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2023-11-01_10h38.58.082,corsi_blocks,2023.2.2,Win32,143.7607821,,,,6.8922,7.388,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2023-11-01_10h38.58.082,corsi_blocks,2023.2.2,Win32,143.7607821,,,,7.3884,7.8877,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2023-11-01_10h38.58.082,corsi_blocks,2023.2.2,Win32,143.7607821,,,,,,,,,,,7.8883,13.4612,"[-0.4592592451307509,-0.3388888747603805,-0.046296296296296294,0.4731482046621817]","[-0.2611111534966363,0.34907406347769276,0.2425925819962113,-0.4009259541829427]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.145900000000374,2.0726999999992586,2.9060999999996255,5.568699999999254]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,13.4617,14.4607,0,0,0,0,1,
,,,,,,,,,,,1,001,2023-11-01_10h38.58.082,corsi_blocks,2023.2.2,Win32,143.7607821,14.4613,"[[-0.26625,0.235],[-0.675,0.29875],[0.4625,0.35875],[0.57875,-0.31375],[-0.6025,0.0725],[0.28875,0.39875],[0.4125,-0.1325],[-0.12125,-0.12625],[-0.0225,0.395]]",14.9603,14.9615,15.4609,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2023-11-01_10h38.58.082,corsi_blocks,2023.2.2,Win32,143.7607821,,,,15.4612,15.9604,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2023-11-01_10h38.58.082,corsi_blocks,2023.2.2,Win32,143.7607821,,,,15.9608,16.4556,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2023-11-01_10h38.58.082,corsi_blocks,2023.2.2,Win32,143.7607821,,,,16.4559,16.9565,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2023-11-01_10h38.58.082,corsi_blocks,2023.2.2,Win32,143.7607821,,,,,,,,,,,16.9566,,,,,,,,,,,,,1,0,1,0,1,999
