instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order
0.0001,1.7255,,-0.021296254,-0.194444444,1,0,0,1.7227,414967,001,2023-11-01_10h43.12.008,corsi_blocks,2023.2.2,Win32,144.7387466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,414967,001,2023-11-01_10h43.12.008,corsi_blocks,2023.2.2,Win32,144.7387466,1.7342,"[[0.1925,-0.295],[-0.09875,0.065],[-0.18625,0.41125],[-0.45875,-0.3],[-0.12125,-0.12625],[0.4125,-0.1325],[0.54,0.03625],[-0.68625,-0.225],[-0.35125,0.36625]]",2.2282,2.2294,2.7284,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,414967,001,2023-11-01_10h43.12.008,corsi_blocks,2023.2.2,Win32,144.7387466,,,,2.7291,3.2285,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,414967,001,2023-11-01_10h43.12.008,corsi_blocks,2023.2.2,Win32,144.7387466,,,,3.229,3.7285,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,414967,001,2023-11-01_10h43.12.008,corsi_blocks,2023.2.2,Win32,144.7387466,,,,,,,,,,,3.7286,8.4308,"[0.17870373196072048,-0.10185185185185185,-0.18055555555555555,0.5046296296296297]","[-0.2787036895751953,0.041666666666666664,0.39814814814814814,-0.3907407831262659]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.2796999999992549,2.199699999999254,2.9981999999992546,4.700400000000371]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,8.4312,9.4296,0,0,0,0,1,
,,,,,,,,,414967,001,2023-11-01_10h43.12.008,corsi_blocks,2023.2.2,Win32,144.7387466,9.4302,"[[-0.45875,-0.3],[-0.26625,0.235],[0.62875,-0.1825],[-0.09875,0.065],[0.30125,-0.0175],[0.22,0.2425],[0.28875,0.39875],[0.1925,-0.295],[-0.24625,0.04375]]",9.9272,9.9282,10.4304,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,414967,001,2023-11-01_10h43.12.008,corsi_blocks,2023.2.2,Win32,144.7387466,,,,10.4308,10.9299,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,414967,001,2023-11-01_10h43.12.008,corsi_blocks,2023.2.2,Win32,144.7387466,,,,10.9304,11.43,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,414967,001,2023-11-01_10h43.12.008,corsi_blocks,2023.2.2,Win32,144.7387466,,,,11.4306,11.9299,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,414967,001,2023-11-01_10h43.12.008,corsi_blocks,2023.2.2,Win32,144.7387466,,,,,,,,,,,11.93,,,,,,,,,,,,,1,0,1,0,1,999
