instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,end.started
0.0002,23.2705,,0.193533271,-0.001718251,1,0,0,23.2686,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,23.2762,"[[-0.675,0.29875],[0.365,-0.27625],[0.0675,0.07375],[0.57875,-0.31375],[0.45375,0.175],[-0.45875,-0.3],[-0.3575,-0.05625],[0.28875,0.39875],[-0.0225,0.395]]",23.7723,23.7735,24.2709,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,24.2713,24.7701,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,24.7704,25.274,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,,,,,,,,25.2742,29.3931,"[-0.6605748156017529,0.35660731021555764,0.08856607310215557,0.5096845117370549]","[0.31193376592977534,-0.2503905220353503,0.06825989970785497,-0.4040924901703081]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.9712000000001879,1.8125,2.5056000000000935,4.1175]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,29.3936,30.3929,0,0,0,0,1,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,30.3933,"[[0.19375,-0.17125],[-0.18625,0.41125],[0.30125,-0.0175],[0.1925,-0.295],[-0.26625,0.235],[-0.09875,0.065],[-0.45875,-0.3],[0.22,0.2425],[-0.35125,0.36625]]",30.8928,30.8937,31.3928,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,31.3933,31.8911,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,31.8916,32.3908,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,32.391,32.8907,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,,,,,,,,32.8908,36.4618,"[0.18853490913484067,-0.17697592594965442,0.3134957825679475,0.20103092783505155,0.5296783018246252]","[-0.13292724838185332,0.3844111191410826,-0.02296157450796626,-0.3003748828491096,-0.4034676663542643]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8413999999999007,1.5664999999999978,2.105600000000088,2.7431000000000907,3.570399999999907]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,36.4622,37.4594,1,0,1,0,1,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,37.4603,"[[0.62875,-0.1825],[-0.45875,-0.3],[-0.35125,0.36625],[0.4625,0.35875],[-0.3575,-0.05625],[0.4125,-0.1325],[-0.6025,0.0725],[0.45375,0.175],[0.54,0.03625]]",37.9595,37.9598,38.4594,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,38.4597,38.9594,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,38.9597,39.4598,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,39.46,39.9601,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,39.9605,40.4594,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,,,,,,,,40.4595,44.3226,"[0.6290222568386832,-0.46938454825518394,-0.356919693522288,0.4340831753016635,-0.3612933458294283,0.5003124405093134]","[-0.18728526150275304,-0.2928772258669166,0.3612933458294283,0.3537956888472352,-0.056076264314374416,-0.39721965700415884]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.703000000000003,1.3662999999998178,2.02489999999991,2.6538999999999078,3.2116999999997233,3.8620999999996286]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[1,1,1,1,1]",1,44.3228,45.3229,2,0,2,0,1,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,45.323,"[[0.365,-0.27625],[-0.01875,0.235],[-0.01125,-0.295],[0.4125,-0.1325],[0.1925,-0.295],[0.16625,0.3825],[0.62875,-0.1825],[-0.6025,0.0725],[0.19375,-0.17125]]",45.8233,45.8236,46.3233,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,46.3235,46.8219,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,46.8222,47.3218,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,47.322,47.8222,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,47.8225,48.3218,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,48.3221,48.8217,5,0,5,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,526470,001,2024-02-16_15h12.12.938,corsi_blocks,2023.2.2,Win32,241.7210539,,,,,,,,,,,48.8221,53.6091,"[0.384098757285321,-0.005779405788718369,-0.002030577297621837,0.43095911342402765,0.21415182755388942,0.18541084725720477,0.5309278350515464]","[-0.3003748828491096,0.23758200562324275,-0.27850673571857426,-0.10855986318972587,-0.28288038802571464,0.42127460168697284,-0.3959700093720712]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[1.1808999999998946,1.8658999999998969,2.521199999999709,3.0405999999996283,3.524199999999709,4.057299999999813,4.7864999999999895]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5"",""blk6""]","[1,1,1,1,1,1]",1,53.6094,54.6092,3,0,3,0,1,
