instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran
0.0003,7.0435,,0.125,-0.091666667,1,0,0,7.0409,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,7.0519,"[[-0.24625,0.04375],[-0.45875,-0.3],[0.4125,-0.1325],[0.62875,-0.1825],[-0.68625,-0.225],[0.22,0.2425],[-0.26625,0.235],[-0.485,0.34625],[0.25625,0.0975]]",7.5423,7.5438,8.0427,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,8.0434,8.5417,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,8.5423,9.0423,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,,,,,,,,9.0428,12.5424,"[-0.25277777777777777,-0.44722222222222224,0.4513888888888889,0.44305555555555554]","[0.043055555555555555,-0.30833333333333335,-0.1375,-0.4097222222222222]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.0655000000000001,1.7483000000715236,2.5811000000238415,3.497800000071525]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,12.5434,13.5419,0,0,0,0,1
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,13.5423,"[[0.45375,0.175],[0.25625,0.0975],[-0.55125,-0.13375],[0.22,0.2425],[-0.4075,0.11875],[0.28875,0.39875],[0.365,-0.27625],[-0.3575,-0.05625],[-0.675,0.29875]]",14.0415,14.0425,14.5416,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,14.5421,15.0428,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,15.0433,15.5416,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,15.5422,16.0426,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,,,,,,,,16.0427,19.8749,"[0.41805555555555557,-0.5291666666666667,-0.4041666666666667,0.19444444444444445,0.49027777777777776]","[0.17777777777777778,-0.11666666666666667,0.10277777777777777,0.2111111111111111,-0.4222222222222222]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.2648000000715172,2.03140000009536,2.4324000000953703,3.0319999999999965,3.831100000023838]","[""blk1"",""blk3"",""blk5"",""blk4""]","[1,0,0,1]",0,19.8755,20.8754,1,0,1,0,1
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,20.8758,"[[-0.35125,0.36625],[-0.01875,0.235],[0.19375,-0.17125],[0.365,-0.27625],[-0.09875,0.065],[-0.0225,0.395],[-0.24625,0.04375],[-0.4075,0.11875],[0.6375,0.27375]]",21.3747,21.3759,21.8762,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,21.8766,22.3764,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,22.3767,22.876,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,22.8765,23.3748,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,,,,,,,,23.375,28.5093,"[-0.37777777777777777,-0.015277777777777777,0.2388888888888889,0.3347222222222222,0.5097222222222222]","[0.3861111111111111,0.25416666666666665,-0.21388888888888888,-0.25416666666666665,-0.40555555555555556]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.748599999904627,3.249599999904632,3.8316999999284747,4.4495000000000005,5.13309999990463]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,28.5098,29.508,2,0,2,0,1
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,29.5083,"[[-0.16125,-0.28],[-0.485,0.34625],[-0.45875,-0.3],[-0.26625,0.235],[0.0675,0.07375],[-0.55125,-0.13375],[0.30125,-0.0175],[-0.01875,0.235],[0.1925,-0.295]]",30.0075,30.0085,30.5074,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,30.5078,31.0077,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,31.0081,31.5092,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,31.5095,32.0073,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,32.0079,32.5083,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,,,,,,,,32.5084,38.4078,"[-0.1597222222222222,-0.4736111111111111,-0.45,-0.2916666666666667,0.12083333333333333,0.07361111111111111,0.4625]","[-0.2847222222222222,0.3263888888888889,-0.28194444444444444,0.22361111111111112,0.029166666666666667,0.05138888888888889,-0.39166666666666666]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[1.8158999999761676,2.6327999999523115,3.3156999999284693,3.882199999928474,4.39809999990463,4.847799999952315,5.89809999990463]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[1,1,1,1,1]",1,38.4085,39.4088,3,0,3,0,1
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,39.409,"[[0.62875,-0.1825],[-0.68625,-0.225],[-0.16125,-0.28],[0.22,0.2425],[0.1925,-0.295],[-0.6025,0.0725],[0.6375,0.27375],[0.0675,0.07375],[0.05875,-0.0575]]",39.9075,39.9087,40.4075,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,40.4079,40.9073,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,40.9077,41.4079,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,41.4085,41.9078,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,41.9083,42.4089,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,42.4092,42.9071,5,0,5,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,,,,,,,,42.9074,50.3903,"[0.6277777777777778,-0.15,-0.6861111111111111,-0.6111111111111112,-0.5652777777777778,0.043055555555555555,0.08472222222222223,0.48194444444444445]","[-0.19583333333333333,-0.26944444444444443,-0.225,-0.027777777777777776,0.03194444444444444,-0.04027777777777778,0.05555555555555555,-0.42083333333333334]","[1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[0.7166000000238455,1.4995000000000118,4.115399999976162,4.5997999999523245,4.965600000023855,5.865600000023846,6.816600000023854,7.48169999992848]","[""blk1"",""blk3"",""blk2"",""blk6"",""blk9"",""blk8""]","[1,0,0,0,0,0]",0,50.3908,51.3923,4,0,4,0,1
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,51.3926,"[[-0.45875,-0.3],[-0.6025,0.0725],[0.1925,-0.295],[-0.3575,-0.05625],[0.05875,-0.0575],[0.45375,0.175],[-0.285,-0.27125],[0.03125,-0.41],[-0.16125,-0.28]]",51.8918,51.8926,52.3907,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,52.3912,52.8913,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,52.8916,53.3898,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,53.3904,53.8901,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,53.8905,54.3912,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,613263,001,2023-12-30_18h15.06.285,corsi_blocks,2023.2.2,Win32,59.88023952,,,,54.3916,54.8908,5,0,5,0,1,,,,,,,,,,,,,,,,,,
