instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,end.started
0.001,5.233,space,5.201,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,5.248,"[[0.54,0.03625],[-0.35125,0.36625],[0.0675,0.07375],[-0.09875,0.065],[0.365,-0.27625],[-0.68625,-0.225],[-0.01875,0.235],[0.30125,-0.0175],[-0.16125,-0.28]]",5.734,5.736,6.234,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,6.235,6.734,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,6.734,7.236,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,7.236,13.389,"[0.3025,-0.3175,-0.09,0.4525]","[0.00125,0.345,0.075,-0.38375]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[3.365999999999998,4.134999999999996,4.663999999999996,6.146999999999997]","[""blk8"",""blk2"",""blk4""]","[0,1,0]",0,13.389,14.388,0,0,0,0,1,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,14.388,"[[0.365,-0.27625],[0.62875,-0.1825],[-0.4075,0.11875],[0.03125,-0.41],[-0.01125,-0.295],[-0.485,0.34625],[-0.35125,0.36625],[-0.68625,-0.225],[-0.285,-0.27125]]",14.888,14.889,15.389,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,15.389,15.888,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,15.889,16.389,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,16.389,19.326,"[0.36875,0.62625,-0.425,0.5275]","[-0.28875,-0.205,0.095,-0.41125]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.8659999999999997,1.4149999999999991,2.0839999999999996,2.934000000000001]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,19.326,20.324,1,0,1,0,1,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,20.324,"[[-0.16125,-0.28],[0.25625,0.0975],[0.45375,0.175],[-0.285,-0.27125],[0.05875,-0.0575],[0.0675,0.07375],[-0.485,0.34625],[-0.4075,0.11875],[0.6375,0.27375]]",20.824,20.825,21.325,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,21.325,21.824,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,21.825,22.324,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,22.325,22.825,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,22.825,26.314,"[-0.1475,0.255,0.4725,-0.27375,0.4625]","[-0.3175,0.07625,0.15625,-0.25375,-0.40375]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.7160000000000011,1.483000000000004,1.9840000000000018,2.719000000000001,3.4879999999999995]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,26.314,27.311,2,0,2,0,1,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,27.311,"[[-0.0225,0.395],[-0.285,-0.27125],[-0.01125,-0.295],[0.0675,0.07375],[-0.6025,0.0725],[0.57875,-0.31375],[0.05875,-0.0575],[0.30125,-0.0175],[-0.09875,0.065]]",27.81,27.811,28.314,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,28.315,28.811,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,28.811,29.311,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,29.311,29.815,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,728911,001,2024-02-19_13h27.48.122,corsi_blocks,2023.2.2,MacIntel,58.82352941,,,,29.816,30.312,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
