instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran
0.0004,13.8759,space,13.8564,,,,,,,,802588,001,2024-02-19_14h43.41.272,corsi_blocks,2023.2.2,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,802588,001,2024-02-19_14h43.41.272,corsi_blocks,2023.2.2,MacIntel,63.29113924,13.8914,"[[0.45375,0.175],[-0.3575,-0.05625],[0.365,-0.27625],[-0.4075,0.11875],[0.1925,-0.295],[-0.55125,-0.13375],[0.4625,0.35875],[-0.35125,0.36625],[-0.09875,0.065]]",14.378,14.3798,14.8785,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,802588,001,2024-02-19_14h43.41.272,corsi_blocks,2023.2.2,MacIntel,63.29113924,,,,14.8793,15.3778,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,802588,001,2024-02-19_14h43.41.272,corsi_blocks,2023.2.2,MacIntel,63.29113924,,,,15.3784,15.8778,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,802588,001,2024-02-19_14h43.41.272,corsi_blocks,2023.2.2,MacIntel,63.29113924,,,,,,,,,,,15.8783,21.7473,"[-0.3339071316189236,0.392022705078125,0.44953016493055553,0.466422119140625]","[-0.07853603786892362,-0.2759870062934028,0.15116492377387153,-0.41454630533854164]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[2.8496999999955293,3.696899999998511,4.348099999994041,5.864799999997018]","[""blk2"",""blk3"",""blk1""]","[0,0,0]",0,21.7482,22.7475,0,0,0,0,1
,,,,,,,,,,,802588,001,2024-02-19_14h43.41.272,corsi_blocks,2023.2.2,MacIntel,63.29113924,22.748,"[[0.4125,-0.1325],[-0.675,0.29875],[-0.485,0.34625],[-0.26625,0.235],[-0.55125,-0.13375],[0.1925,-0.295],[0.4625,0.35875],[0.25625,0.0975],[-0.01875,0.235]]",23.245,23.2463,23.7446,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,802588,001,2024-02-19_14h43.41.272,corsi_blocks,2023.2.2,MacIntel,63.29113924,,,,23.7454,24.2446,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,802588,001,2024-02-19_14h43.41.272,corsi_blocks,2023.2.2,MacIntel,63.29113924,,,,24.2451,24.746,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,802588,001,2024-02-19_14h43.41.272,corsi_blocks,2023.2.2,MacIntel,63.29113924,,,,,,,,,,,24.7463,27.8465,"[0.3904918077256944,-0.6938791232638889,-0.4417363145616319,0.4413519965277778]","[-0.15821824815538194,0.2733651902940538,0.34337673611111114,-0.40121561686197915]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.8641999999955274,1.5638999999985082,2.0474999999999994,3.0988999999985047]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,27.8468,28.8442,1,0,1,0,1
,,,,,,,,,,,802588,001,2024-02-19_14h43.41.272,corsi_blocks,2023.2.2,MacIntel,63.29113924,28.8445,"[[-0.12125,-0.12625],[-0.24625,0.04375],[0.1925,-0.295],[-0.68625,-0.225],[-0.26625,0.235],[0.16625,0.3825],[0.03125,-0.41],[-0.0225,0.395],[-0.01125,-0.295]]",29.3447,29.3456,29.8446,0,0,0,0,1,,,,,,,,,,,,,,,,,,
