instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran
0,3.9905,space,3.9601,,,,,,,,jc,001,2023-12-20_19h36.00.435,corsi_blocks,2023.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jc,001,2023-12-20_19h36.00.435,corsi_blocks,2023.2.2,MacIntel,59.88023952,3.9977,"[[0.16625,0.3825],[0.0675,0.07375],[-0.01875,0.235],[-0.35125,0.36625],[-0.45875,-0.3],[-0.24625,0.04375],[0.54,0.03625],[0.4125,-0.1325],[-0.3575,-0.05625]]",4.4915,4.4943,4.9899,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jc,001,2023-12-20_19h36.00.435,corsi_blocks,2023.2.2,MacIntel,59.88023952,,,,4.9912,5.4908,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jc,001,2023-12-20_19h36.00.435,corsi_blocks,2023.2.2,MacIntel,59.88023952,,,,5.4915,5.9925,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jc,001,2023-12-20_19h36.00.435,corsi_blocks,2023.2.2,MacIntel,59.88023952,,,,,,,,,,,5.9933,9.7749,"[0.1780078125,0.09953125,-0.007291666666666667,0.5313064236111111]","[0.402890625,0.08622395833333334,0.21720486111111112,-0.41760850694444446]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.479499999999998,2.12929999999702,2.6765000000000008,3.7779000000059604]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,9.7753,10.7724,0,0,0,0,1
,,,,,,,,,,,jc,001,2023-12-20_19h36.00.435,corsi_blocks,2023.2.2,MacIntel,59.88023952,10.7729,"[[0.16625,0.3825],[0.19375,-0.17125],[0.0675,0.07375],[-0.285,-0.27125],[-0.24625,0.04375],[0.54,0.03625],[-0.01875,0.235],[0.22,0.2425],[0.45375,0.175]]",11.2754,11.2765,11.7744,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jc,001,2023-12-20_19h36.00.435,corsi_blocks,2023.2.2,MacIntel,59.88023952,,,,11.7751,12.2749,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jc,001,2023-12-20_19h36.00.435,corsi_blocks,2023.2.2,MacIntel,59.88023952,,,,12.2757,12.7747,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jc,001,2023-12-20_19h36.00.435,corsi_blocks,2023.2.2,MacIntel,59.88023952,,,,12.7755,13.2754,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jc,001,2023-12-20_19h36.00.435,corsi_blocks,2023.2.2,MacIntel,59.88023952,,,,,,,,,,,13.2755,17.1729,"[0.20701822916666668,0.19764756944444445,0.08633246527777778,0.07379340277777778,-0.2699001736111111,0.49865017361111114]","[0.4084375,-0.143203125,0.02327690972222222,0.05685763888888889,-0.24623697916666668,-0.39988715277777775]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.7300000000000004,1.3157999999970187,1.7992999999970216,2.3805999999940397,3.0651999999880815,3.8963999999910612]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,17.1734,18.1737,1,0,1,0,1
