instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran
0.0007,1.3827,,-0.026349826,-0.145013021,1,0,0,1.3725,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,1.4051,"[[0.57875,-0.31375],[0.0675,0.07375],[0.6375,0.27375],[-0.6025,0.0725],[-0.45875,-0.3],[0.4125,-0.1325],[-0.01875,0.235],[0.62875,-0.1825],[0.365,-0.27625]]",1.8841,1.8872,2.384,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,2.3855,2.8823,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,2.883,3.3834,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,,,,,,,,3.3846,8.7194,"[0.09434895833333333,0.09434895833333333,0.09434895833333333,0.6338107638888889,0.09989583333333334,0.5090928819444445]","[0.12109375,0.12109375,0.08900607638888888,0.24366319444444445,0.08288194444444444,-0.3991796875]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.21139999999944337,0.7790999999996266,1.1467999999998142,3.827399999999443,4.628700000000187,5.330099999999629]","[""blk2"",""blk2"",""blk2"",""blk3"",""blk2""]","[0,0]",0,8.7203,9.716,0,0,0,0,1
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,9.7168,"[[-0.24625,0.04375],[0.4625,0.35875],[-0.12125,-0.12625],[-0.01875,0.235],[0.28875,0.39875],[-0.4075,0.11875],[-0.675,0.29875],[0.19375,-0.17125],[-0.01125,-0.295]]",10.217,10.2194,10.7174,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,10.719,11.2178,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,11.2189,11.7177,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,,,,,,,,11.7179,17.0698,"[-0.2131597222222222,0.45861111111111114,-0.12335069444444445,0.49428819444444444,0.466796875]","[0.02373263888888889,0.33046440972222224,-0.09021267361111111,-0.4264496527777778,-0.4032421875]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.9472999999998137,2.5983999999994403,3.3136999999992547,4.0809999999999995,5.34839999999944]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,17.0706,18.0677,1,0,1,0,1
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,18.0711,"[[0.57875,-0.31375],[0.1925,-0.295],[0.62875,-0.1825],[-0.09875,0.065],[-0.01875,0.235],[-0.26625,0.235],[-0.4075,0.11875],[0.16625,0.3825],[-0.45875,-0.3]]",18.5678,18.5705,19.0675,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,19.0683,19.569,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,19.5702,20.0678,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,20.0688,20.5679,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,,,,,,,,20.5681,26.8187,"[0.5972699652777778,0.14467013888888888,0.6391145833333334,-0.09621527777777777,0.45632378472222224,0.47226996527777776]","[-0.3095833333333333,-0.28084635416666665,-0.1833246527777778,0.0904123263888889,-0.43876302083333335,-0.39187934027777777]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.4837999999998175,2.301900000000373,3.863200000000191,4.596799999999817,5.630799999999816,6.2471000000005645]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,26.8206,27.817,2,0,2,0,1
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,27.8178,"[[-0.01875,0.235],[0.62875,-0.1825],[-0.485,0.34625],[0.19375,-0.17125],[0.54,0.03625],[0.03125,-0.41],[0.45375,0.175],[-0.16125,-0.28],[0.30125,-0.0175]]",28.3172,28.3197,28.8181,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,28.8188,29.3171,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,29.3177,29.8175,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,29.8182,30.3189,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,30.3199,30.8202,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,,,,,,,,30.8207,34.5366,"[-0.009175347222222222,0.6061501736111111,-0.4994574652777778,0.18111545138888888,0.5803602430555556,0.5606727430555556]","[0.23032986111111112,-0.1936328125,0.3306032986111111,-0.19859809027777778,0.03826822916666667,-0.373828125]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.5117000000001894,1.3117000000001866,1.8949000000003764,2.5629000000003757,3.0289000000003767,3.7132000000001852]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[1,1,1,1,1]",1,34.5379,35.534,3,0,3,0,1
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,35.5346,"[[0.16625,0.3825],[0.19375,-0.17125],[-0.24625,0.04375],[-0.55125,-0.13375],[-0.35125,0.36625],[0.0675,0.07375],[0.57875,-0.31375],[0.62875,-0.1825],[-0.18625,0.41125]]",36.0341,36.036,36.5358,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,36.5373,37.0348,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,37.0354,37.5358,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,37.5371,38.0344,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,38.035,38.5359,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,38.5366,39.0359,5,0,5,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,,,,,,,,39.036,45.7866,"[0.18378038194444443,0.1963064236111111,-0.5372092013888888,-0.34045572916666667,-0.3303689236111111,0.07559895833333333,-0.1777734375,-0.2228689236111111,0.4519487847222222]","[0.3366232638888889,-0.16537760416666666,-0.11782118055555556,0.4692751736111111,0.35993055555555553,0.074453125,-0.0004427083333333333,0.011527777777777777,-0.39055121527777775]","[1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0]","[0.5792000000001849,1.3127000000001843,2.0960999999996304,2.5967000000001903,2.8960999999996275,3.3627000000001885,5.746099999999629,6.062900000000376,6.7474000000003755]","[""blk1"",""blk2"",""blk4"",""blk5"",""blk6"",""blk3""]","[1,1,0,0,0,0]",0,45.7888,46.7849,4,0,4,0,1
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,46.7854,"[[0.4125,-0.1325],[-0.26625,0.235],[-0.45875,-0.3],[-0.0225,0.395],[-0.68625,-0.225],[-0.485,0.34625],[0.54,0.03625],[0.28875,0.39875],[-0.675,0.29875]]",47.2856,47.2881,47.785,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,47.7856,48.2853,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,48.286,48.7851,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,48.7858,49.2852,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,49.2859,49.7852,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,m,001,2023-12-05_01h31.25.891,corsi_blocks,2023.2.2,MacIntel,59.99880002,,,,49.7858,50.2867,5,0,5,0,1,,,,,,,,,,,,,,,,,,
