instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran
0.0002,10.9245,,-0.102777764,-0.286111125,1,0,0,10.9217,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,10.9327,"[[-0.45875,-0.3],[-0.0225,0.395],[-0.26625,0.235],[0.28875,0.39875],[0.30125,-0.0175],[0.0675,0.07375],[0.16625,0.3825],[-0.09875,0.065],[0.19375,-0.17125]]",11.4234,11.4249,11.9266,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,11.9269,12.4251,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,12.4253,12.9223,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,,,,,,,,12.9231,23.0609,"[-0.024999971742983216,-0.24074074074074073,-0.4444444444444444,0.45555552729853876,0.4500000565140336]","[0.35185185185185186,0.23148148148148148,-0.2759259541829427,-0.3685185467755353,-0.3907407831262659]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[4.7189000000003745,5.562800000000749,6.38220000000112,7.7605000000000075,10.131]","[""blk2"",""blk3"",""blk1""]","[0,0,0]",0,23.0612,24.0505,0,0,0,0,1
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,24.051,"[[-0.4075,0.11875],[0.03125,-0.41],[0.6375,0.27375],[-0.485,0.34625],[-0.68625,-0.225],[-0.26625,0.235],[0.22,0.2425],[-0.18625,0.41125],[-0.12125,-0.12625]]",24.5498,24.5507,25.0495,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,25.0503,25.5491,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,25.5497,26.0529,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,,,,,,,,26.0529,34.6668,"[-0.36759259965684676,0.022222236350730614,0.625,0.5009259824399594,0.48333330507631656]","[0.1111111111111111,-0.40555558381257234,0.2749999894036187,-0.42685183772334345,-0.39907405994556566]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8794000000003734,1.6654000000003748,2.398600000001494,3.4609999999999985,8.612700000001112]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,34.667,35.6607,1,0,1,0,1
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,35.6613,"[[0.4125,-0.1325],[0.57875,-0.31375],[-0.285,-0.27125],[0.6375,0.27375],[0.25625,0.0975],[0.03125,-0.41],[0.22,0.2425],[-0.0225,0.395],[-0.68625,-0.225]]",36.1607,36.1617,36.6603,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,36.6607,37.1601,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,37.1607,37.6635,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,37.6638,38.1633,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,,,,,,,,38.1635,43.1909,"[0.4037037602177373,0.5750000565140335,-0.2962962962962963,0.609259287516276,0.4481482329191985,0.4518518801088686]","[-0.12962962962962962,-0.30833336159035013,-0.25925925925925924,0.22592592239379883,-0.44166670905219185,-0.41203703703703703]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.36629999999888696,1.2465999999996313,2.328199999999242,3.2440999999996336,4.193899999998507,5.026499999999999]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,43.1915,44.1897,2,0,2,0,1
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,44.1903,"[[-0.4075,0.11875],[0.22,0.2425],[-0.18625,0.41125],[0.6375,0.27375],[-0.45875,-0.3],[0.45375,0.175],[-0.12125,-0.12625],[-0.68625,-0.225],[0.365,-0.27625]]",44.6896,44.6911,45.1895,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,45.1903,45.6893,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,45.6898,46.1889,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,46.1895,46.689,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,46.6896,47.1899,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,,,,,,,,47.19,52.8065,"[-0.4138888959531431,0.24074074074074073,-0.20925924513075086,0.6962962680392795,0.6037036754466869,-0.49814814108389394,0.4916667231807002]","[0.08703701584427445,0.25,0.39814814814814814,0.2638888888888889,0.27314814814814814,-0.3138889030173973,-0.3740740882025825]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[1.097199999999276,1.7840000000000202,2.450399999998524,3.1129999999999995,3.5801999999992518,4.399599999999623,5.615499999999997]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[1,1,1,1,1]",1,52.8068,53.8021,3,0,3,0,1
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,53.8026,"[[-0.485,0.34625],[-0.68625,-0.225],[0.1925,-0.295],[0.4125,-0.1325],[0.57875,-0.31375],[0.30125,-0.0175],[-0.45875,-0.3],[0.45375,0.175],[0.22,0.2425]]",54.3016,54.3027,54.8014,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,54.802,55.3011,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,55.3016,55.8027,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,55.803,56.3007,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,56.3013,56.8003,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,56.801,57.3003,5,0,5,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,,,,,,,,57.3006,64.784,"[-0.4666666454739041,-0.6546296190332483,0.21666668079517507,0.40648156625253185,0.23148148148148148,0.3148148148148148,0.55462971440068,0.4675925925925926,0.4675925925925926,0.45648150973849827]","[0.3027777671813965,-0.21666668079517507,-0.3074074497929326,-0.16944447270146124,-0.017592606721100985,-0.03055554849130136,-0.3259259683114511,-0.43425927338776765,-0.43425927338776765,-0.3879629770914714]","[1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[1.118800000000732,1.947700000001106,2.697499999999991,3.3845000000000027,4.013499999999993,4.663300000000731,5.313100000001498,5.92949999999999,6.612500000000011,7.4824999999999875]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk6"",""blk5""]","[1,1,1,1,0,0]",0,64.7842,65.7791,4,0,4,0,1
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,65.7795,"[[-0.0225,0.395],[-0.6025,0.0725],[-0.68625,-0.225],[0.54,0.03625],[0.0675,0.07375],[-0.09875,0.065],[-0.3575,-0.05625],[-0.4075,0.11875],[-0.45875,-0.3]]",66.2791,66.2801,66.7786,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,66.7792,67.2788,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,67.2792,67.7782,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,67.7788,68.2782,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,68.2787,68.7777,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,68.7783,69.2775,5,0,5,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,,,,,,,,,,,69.2776,77.2946,"[-0.002777735392252604,-0.6101851816530581,-0.6518518483197248,0.5120370652940538,-0.10185185185185185,-0.3351851922494394,-0.38148148854573566,0.48148148148148145]","[0.38611110934504755,0.07407407407407407,-0.17962964375813803,0.04074071954797815,0.032407407407407406,0.09537036330611617,0.08055556261980976,-0.38518517105667677]","[1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[1.3979999999999961,2.297499999999985,3.0304999999999893,4.03019999999924,4.846099999999609,6.699499999999972,7.011999999999972,8.015499999999975]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk6"",""blk8""]","[1,1,1,1,0,0]",0,77.2949,78.2901,5,0,5,0,1
,,,,,,,,,prayas2902,001,2023-12-04_23h24.20.803,corsi_blocks,2023.2.2,Win32,60.00960154,78.2907,"[[0.62875,-0.1825],[-0.0225,0.395],[0.22,0.2425],[-0.12125,-0.12625],[-0.675,0.29875],[0.25625,0.0975],[0.4625,0.35875],[-0.26625,0.235],[-0.6025,0.0725]]",78.7893,78.7904,79.289,0,0,0,0,1,,,,,,,,,,,,,,,,,,
