instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran
0.0002,10.2584,space,10.1955,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,10.2736,"[[0.22,0.2425],[0.45375,0.175],[-0.3575,-0.05625],[0.4125,-0.1325],[0.62875,-0.1825],[-0.18625,0.41125],[-0.01875,0.235],[0.0675,0.07375],[-0.6025,0.0725]]",10.7622,10.7638,11.2588,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,11.2593,11.7545,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,11.7551,12.2571,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,,,,,,,,12.2577,17.2584,"[0.20185188010886865,0.4370370087800203,-0.3583333403975875,0.5083334181043837]","[0.2435185114542643,0.16944443738019024,-0.05462964375813802,-0.42222220809371386]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.9337000000029789,1.9292999999970206,3.1111000000014926,4.998200000002981]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,17.2588,18.2575,0,0,0,0,1
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,18.258,"[[-0.68625,-0.225],[0.19375,-0.17125],[-0.485,0.34625],[0.25625,0.0975],[0.03125,-0.41],[-0.3575,-0.05625],[0.16625,0.3825],[-0.24625,0.04375],[-0.01125,-0.295]]",18.755,18.7559,19.2541,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,19.2545,19.7532,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,19.7538,20.252,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,20.2523,20.7528,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,,,,,,,,20.753,25.9987,"[-0.6777777671813965,0.17407410233109086,-0.48796297002721717,0.2638888888888889,0.4944445292154948]","[-0.21574076899775751,-0.1611111252396195,0.34444443384806317,0.10277776364926938,-0.4111111252396195]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.9048999999985057,2.004100000001486,3.19180000000447,4.243899999998511,5.244800000004467]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,25.9993,26.9978,1,0,1,0,1
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,26.9982,"[[-0.675,0.29875],[-0.18625,0.41125],[0.4125,-0.1325],[0.19375,-0.17125],[-0.26625,0.235],[-0.6025,0.0725],[-0.09875,0.065],[0.365,-0.27625],[-0.35125,0.36625]]",27.4967,27.4981,27.9934,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,27.9938,28.489,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,28.4894,28.991,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,28.9915,29.4905,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,29.491,29.9885,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,teste1,001,2024-01-12_07h20.13.385,corsi_blocks,2023.2.2,Win32,121.9512195,,,,,,,,,,,29.9887,36.904,"[-0.6870370264406558,-0.17870366131817852,0.4037037602177373,0.1870370794225622,-0.11203702290852864,0.5101852416992188]","[0.286111107578984,0.4305555555555556,-0.1324074356644242,-0.197222250479239,0.06018518518518518,-0.4027777777777778]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.6829999999999998,2.689199999995523,3.7036999999955356,4.451899999998503,5.7251999999955245,6.9140000000000015]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk7""]","[1,1,1,1,0]",0,36.9044,37.9017,2,0,2,0,1
