Instructions.started,Instructions.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,corrAns,sameOrDiff,trials.order
0.0005,4.1869,007136,001,2023-12-07_10h40.36.906,glasgow_face_matching,2023.2.2,Win32,165.7824934,,,,,,,,,,,,,,,,,
,,007136,001,2023-12-07_10h40.36.906,glasgow_face_matching,2023.2.2,Win32,165.7824934,4.2005,10.5704,right,1,6.3435,,10.5758,11.5735,0,0,0,9,1,different/049_218_L.jpg,right,different,
,,007136,001,2023-12-07_10h40.36.906,glasgow_face_matching,2023.2.2,Win32,165.7824934,11.574,13.1516,left,1,1.5615,,13.1517,14.1519,0,1,1,3,1,same/170_DV_C2.jpg,left,same,
,,007136,001,2023-12-07_10h40.36.906,glasgow_face_matching,2023.2.2,Win32,165.7824934,14.1524,15.7273,right,1,1.5622,,15.7273,16.7272,0,2,2,11,1,different/077_133_R.jpg,right,different,
,,007136,001,2023-12-07_10h40.36.906,glasgow_face_matching,2023.2.2,Win32,165.7824934,16.7276,20.3121,left,0,3.5737,,20.3121,21.3096,0,3,3,10,1,different/076_109_R.jpg,right,different,
,,007136,001,2023-12-07_10h40.36.906,glasgow_face_matching,2023.2.2,Win32,165.7824934,21.3101,22.9164,left,1,1.5851,,22.9166,23.9171,0,4,4,4,1,same/235_C2_DV.jpg,left,same,
,,007136,001,2023-12-07_10h40.36.906,glasgow_face_matching,2023.2.2,Win32,165.7824934,23.9174,25.333,left,1,1.3885,,25.333,26.3308,0,5,5,0,1,same/136_C2_DV.jpg,left,same,
,,007136,001,2023-12-07_10h40.36.906,glasgow_face_matching,2023.2.2,Win32,165.7824934,26.3312,27.7134,left,1,1.368,,27.7134,28.7151,0,6,6,2,1,same/168_C2_DV.jpg,left,same,
,,007136,001,2023-12-07_10h40.36.906,glasgow_face_matching,2023.2.2,Win32,165.7824934,28.7154,30.2423,left,1,1.5123,,30.2424,31.2387,0,7,7,1,1,same/139_DV_C2.jpg,left,same,
,,007136,001,2023-12-07_10h40.36.906,glasgow_face_matching,2023.2.2,Win32,165.7824934,31.239,,,,,,,,0,8,8,8,1,different/025_235_L.jpg,right,different,11
