16.6039 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
17.3248 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002673398DC70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002673398DC10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002673398DA60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026733D27190>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.3249 	EXP 	window1: mouseVisible = True
17.3249 	EXP 	window1: backgroundImage = ''
17.3249 	EXP 	window1: backgroundFit = 'none'
17.3270 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.3271 	EXP 	window1: recordFrameIntervals = False
17.4577 	EXP 	window1: recordFrameIntervals = True
17.6046 	EXP 	Screen (0) actual frame rate measured at 74.97Hz
17.6046 	EXP 	window1: recordFrameIntervals = False
17.6047 	EXP 	window1: mouseVisible = False
20.4501 	EXP 	glasgow_face_matching: status = STARTED
20.4504 	EXP 	window1: mouseVisible = True
21.6619 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
21.6624 	EXP 	window1: mouseVisible = True
21.6626 	EXP 	window1: mouseVisible = True
21.6632 	EXP 	window1: mouseVisible = True
21.6639 	EXP 	window1: mouseVisible = True
21.7753 	EXP 	window1: mouseVisible = True
21.7755 	EXP 	window1: mouseVisible = True
21.7762 	EXP 	window1: mouseVisible = True
21.7768 	EXP 	window1: mouseVisible = True
21.7858 	EXP 	window1: mouseVisible = True
22.9448 	EXP 	Created background_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
22.9449 	EXP 	window1: mouseVisible = True
22.9621 	EXP 	Created faces = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='faces', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.25, 0.78]), texRes=128, units='height', win=Window(...))
22.9624 	EXP 	window1: mouseVisible = True
22.9626 	EXP 	window1: mouseVisible = True
22.9632 	EXP 	window1: mouseVisible = True
22.9638 	EXP 	window1: mouseVisible = True
22.9679 	EXP 	window1: mouseVisible = True
22.9680 	EXP 	window1: mouseVisible = True
22.9686 	EXP 	window1: mouseVisible = True
22.9692 	EXP 	window1: mouseVisible = True
22.9734 	EXP 	window1: mouseVisible = True
22.9735 	EXP 	window1: mouseVisible = True
22.9741 	EXP 	window1: mouseVisible = True
22.9747 	EXP 	window1: mouseVisible = True
22.9938 	EXP 	window1: mouseVisible = True
22.9939 	EXP 	window1: mouseVisible = True
22.9945 	EXP 	window1: mouseVisible = True
22.9950 	EXP 	window1: mouseVisible = True
22.9986 	EXP 	window1: mouseVisible = True
24.1898 	EXP 	Created background_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
24.1902 	EXP 	window1: mouseVisible = True
24.1903 	EXP 	window1: mouseVisible = True
24.1909 	EXP 	window1: mouseVisible = True
24.1915 	EXP 	window1: mouseVisible = True
24.1959 	EXP 	window1: mouseVisible = True
24.1960 	EXP 	window1: mouseVisible = True
24.1966 	EXP 	window1: mouseVisible = True
24.1972 	EXP 	window1: mouseVisible = True
24.2013 	EXP 	window1: mouseVisible = True
24.2014 	EXP 	window1: mouseVisible = True
24.2020 	EXP 	window1: mouseVisible = True
24.2026 	EXP 	window1: mouseVisible = True
24.2072 	EXP 	window1: mouseVisible = True
24.2074 	EXP 	window1: mouseVisible = True
24.2080 	EXP 	window1: mouseVisible = True
24.2086 	EXP 	window1: mouseVisible = True
24.2129 	EXP 	window1: mouseVisible = True
24.2130 	EXP 	window1: mouseVisible = True
24.2137 	EXP 	window1: mouseVisible = True
24.2143 	EXP 	window1: mouseVisible = True
24.2186 	EXP 	window1: mouseVisible = True
24.2188 	EXP 	window1: mouseVisible = True
24.2195 	EXP 	window1: mouseVisible = True
24.2201 	EXP 	window1: mouseVisible = True
24.2247 	EXP 	window1: mouseVisible = True
25.4057 	EXP 	Created background_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
25.4061 	EXP 	window1: mouseVisible = True
25.4063 	EXP 	window1: mouseVisible = True
25.4070 	EXP 	window1: mouseVisible = True
25.4081 	EXP 	window1: mouseVisible = True
25.4139 	EXP 	window1: mouseVisible = True
25.4141 	EXP 	window1: mouseVisible = True
25.4149 	EXP 	window1: mouseVisible = True
25.4155 	EXP 	window1: mouseVisible = True
0.0152 	EXP 	instructionstxt: autoLog = True
0.0152 	EXP 	trial_counter: autoLog = True
0.0152 	EXP 	reminder: autoLog = True
0.0152 	EXP 	textbox: autoLog = True
0.0152 	EXP 	reminder_2: autoLog = True
0.0152 	EXP 	trial_counter_2: autoLog = True
0.0152 	EXP 	endmsg: autoLog = True
0.0279 	EXP 	background: autoDraw = True
0.0279 	EXP 	instructionstxt: autoDraw = True
42.5343 	EXP 	Imported conditions_short.xlsx as conditions, 40 conditions, 3 params
42.5351 	EXP 	Created sequence: random, trialTypes=40, nReps=1, seed=None
42.5353 	EXP 	New trial (rep=0, index=0): {'imageFile': 'same/89a.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
