8.5409 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
9.2284 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FBA777BB80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FBA777BB20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FBA777B940>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FBA7B17550>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.2285 	EXP 	window1: mouseVisible = True
9.2285 	EXP 	window1: backgroundImage = ''
9.2285 	EXP 	window1: backgroundFit = 'none'
9.2306 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.2306 	EXP 	window1: recordFrameIntervals = False
9.3609 	EXP 	window1: recordFrameIntervals = True
9.5079 	EXP 	Screen (0) actual frame rate measured at 74.92Hz
9.5079 	EXP 	window1: recordFrameIntervals = False
9.5080 	EXP 	window1: mouseVisible = False
12.6583 	EXP 	glasgow_face_matching: status = STARTED
12.6587 	EXP 	window1: mouseVisible = True
12.8872 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
12.8875 	EXP 	window1: mouseVisible = True
12.8877 	EXP 	window1: mouseVisible = True
12.8883 	EXP 	window1: mouseVisible = True
12.8889 	EXP 	window1: mouseVisible = True
13.0670 	EXP 	window1: mouseVisible = True
13.0672 	EXP 	window1: mouseVisible = True
13.0679 	EXP 	window1: mouseVisible = True
13.0685 	EXP 	window1: mouseVisible = True
13.0810 	EXP 	window1: mouseVisible = True
