Instructions.started,Instructions.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,corrAns,sameOrDiff
0.0003,43.4703,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,43.4958,48.5185,left,1,4.984,,48.5274,49.521,0,0,0,1,1,same/139_DV_C2.jpg,left,same
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,49.5217,59.9517,left,0,10.3991,,59.9517,60.9542,0,1,1,10,1,different/076_109_R.jpg,right,different
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,60.9547,64.7362,right,0,3.7479,,64.7364,65.7366,0,2,2,3,1,same/170_DV_C2.jpg,left,same
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,65.7373,67.9713,left,0,2.2098,,67.9715,68.9713,0,3,3,6,1,different/013_235_R.jpg,right,different
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,68.9725,70.154,left,1,1.1514,,70.1542,71.1548,0,4,4,4,1,same/235_C2_DV.jpg,left,same
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,71.1551,72.8533,left,1,1.6701,,72.8534,73.8546,0,5,5,5,1,same/303_DV_C2.jpg,left,same
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,73.8548,75.3696,left,1,1.4908,,75.3697,76.3693,0,6,6,2,1,same/168_C2_DV.jpg,left,same
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,76.3695,79.1197,left,0,2.7232,,79.1198,80.122,0,7,7,9,1,different/049_218_L.jpg,right,different
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,80.1221,81.7545,left,0,1.6039,,81.7546,82.7536,0,8,8,7,1,different/019_074_L.jpg,right,different
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,82.7539,83.9203,right,1,1.1448,,83.9203,84.9228,0,9,9,8,1,different/025_235_L.jpg,right,different
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,84.9233,86.3722,left,1,1.4268,,86.3723,87.3724,0,10,10,0,1,same/136_C2_DV.jpg,left,same
,,606482,001,2024-01-09_19h50.16.992,glasgow_face_matching,2023.2.2,MacIntel,60.24096386,87.3727,92.8554,left,0,5.4586,,92.8555,93.8563,0,11,11,11,1,different/077_133_R.jpg,right,different
