Instructions.started,Instructions.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,corrAns,sameOrDiff
0.0004,1200.9573,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1200.9936,1218.087,left,1,16.9934,,1218.1046,1219.0893,0,0,0,2,1,same/168_C2_DV.jpg,left,same
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1219.0902,1222.9702,left,0,3.8476,,1222.9703,1223.9714,0,1,1,10,1,different/076_109_R.jpg,right,different
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1223.9729,1230.7212,right,0,6.7054,,1230.7216,1231.7217,0,2,2,5,1,same/303_DV_C2.jpg,left,same
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1231.7233,1235.5212,right,1,3.7595,,1235.5215,1236.5211,0,3,3,9,1,different/049_218_L.jpg,right,different
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1236.5217,1242.0034,left,0,5.4524,,1242.0035,1243.0046,0,4,4,6,1,different/013_235_R.jpg,right,different
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1243.0051,1250.6373,right,1,7.5963,,1250.6374,1251.6362,0,5,5,8,1,different/025_235_L.jpg,right,different
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1251.6376,1257.0534,right,0,5.3833,,1257.0538,1258.0525,0,6,6,4,1,same/235_C2_DV.jpg,left,same
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1258.0541,1260.636,left,1,2.5549,,1260.6361,1261.6376,0,7,7,0,1,same/136_C2_DV.jpg,left,same
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1261.638,1268.2203,right,0,6.5447,,1268.2204,1269.2251,0,8,8,3,1,same/170_DV_C2.jpg,left,same
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1269.2256,1271.3036,left,1,2.048,,1271.3036,1272.3014,0,9,9,1,1,same/139_DV_C2.jpg,left,same
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1272.3032,1274.5516,left,0,2.2188,,1274.5516,1275.5528,0,10,10,11,1,different/077_133_R.jpg,right,different
,,653fc8e157cb0d038fe68fd6,001,2023-12-15_01h30.54.834,glasgow_face_matching,2023.2.2,Win32,59.88023952,1275.5539,1279.3527,left,0,3.7634,,1279.3528,1280.3511,0,11,11,7,1,different/019_074_L.jpg,right,different
