11.7353 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
13.2666 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C494A01D90>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C494A01D30>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C494A01B50>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001C494DA3850>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.2667 	EXP 	window1: mouseVisible = True
13.2667 	EXP 	window1: backgroundImage = ''
13.2667 	EXP 	window1: backgroundFit = 'none'
13.2683 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.2683 	EXP 	window1: recordFrameIntervals = False
13.3997 	EXP 	window1: recordFrameIntervals = True
13.5465 	EXP 	Screen (0) actual frame rate measured at 75.00Hz
13.5465 	EXP 	window1: recordFrameIntervals = False
13.5466 	EXP 	window1: mouseVisible = False
17.7875 	EXP 	GFMT_short: status = STARTED
17.7879 	EXP 	window1: mouseVisible = True
19.0881 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='norm', win=Window(...))
19.0884 	EXP 	window1: mouseVisible = True
19.0885 	EXP 	window1: mouseVisible = True
19.0891 	EXP 	window1: mouseVisible = True
19.0897 	EXP 	window1: mouseVisible = True
19.1865 	EXP 	window1: mouseVisible = True
19.1867 	EXP 	window1: mouseVisible = True
19.1873 	EXP 	window1: mouseVisible = True
19.1878 	EXP 	window1: mouseVisible = True
19.1953 	EXP 	window1: mouseVisible = True
19.1983 	EXP 	Created background_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image=None, interpolate=True, mask=None, maskParams=None, name='background_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='norm', win=Window(...))
19.1984 	EXP 	window1: mouseVisible = True
