19.3928 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
20.1067 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014D8D055B80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014D8D055B20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014D8D055940>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000014D8D3F5640>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.1068 	EXP 	window1: mouseVisible = True
20.1068 	EXP 	window1: backgroundImage = ''
20.1068 	EXP 	window1: backgroundFit = 'none'
20.1089 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
20.1089 	EXP 	window1: recordFrameIntervals = False
20.2397 	EXP 	window1: recordFrameIntervals = True
20.3865 	EXP 	Screen (0) actual frame rate measured at 75.00Hz
20.3865 	EXP 	window1: recordFrameIntervals = False
20.3866 	EXP 	window1: mouseVisible = False
23.3430 	EXP 	GFMT_short: status = STARTED
23.3433 	EXP 	window1: mouseVisible = True
23.4863 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='norm', win=Window(...))
23.4866 	EXP 	window1: mouseVisible = True
23.4868 	EXP 	window1: mouseVisible = True
23.4874 	EXP 	window1: mouseVisible = True
23.4880 	EXP 	window1: mouseVisible = True
23.6068 	EXP 	window1: mouseVisible = True
23.6069 	EXP 	window1: mouseVisible = True
23.6075 	EXP 	window1: mouseVisible = True
23.6080 	EXP 	window1: mouseVisible = True
23.6160 	EXP 	window1: mouseVisible = True
23.6185 	EXP 	Created background_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image=None, interpolate=True, mask=None, maskParams=None, name='background_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='norm', win=Window(...))
23.6186 	EXP 	window1: mouseVisible = True
