8.9967 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
9.6619 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026592213C70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026592213C10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026592213A60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000265926401C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.6620 	EXP 	window1: mouseVisible = True
9.6620 	EXP 	window1: backgroundImage = ''
9.6620 	EXP 	window1: backgroundFit = 'none'
9.6662 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.6662 	EXP 	window1: recordFrameIntervals = False
9.7946 	EXP 	window1: recordFrameIntervals = True
9.9416 	EXP 	Screen (0) actual frame rate measured at 74.96Hz
9.9416 	EXP 	window1: recordFrameIntervals = False
9.9417 	EXP 	window1: mouseVisible = False
12.4910 	EXP 	Digit Span Task: status = STARTED
12.4915 	EXP 	window1: mouseVisible = True
12.5586 	EXP 	Created Instrucciones = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='Instrucciones', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.5587 	EXP 	window1: mouseVisible = True
12.5965 	EXP 	Created cont_boton_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='continuar.png', interpolate=True, mask=None, maskParams=None, name='cont_boton_2', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), size=array([0.3 , 0.07]), texRes=128.0, units='height', win=Window(...))
12.5966 	EXP 	window1: mouseVisible = True
12.5967 	EXP 	window1: mouseVisible = True
