key_resp.keys,key_resp.rt,correct,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.time,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,reward_green,reward_blue,green_pos,pg,pb,corrAns,corrAmount,cash_green,cash_blue,cash_corr,cash_size,cashsize_h,cashsize_v,auditory_stim_green_path,auditory_stim_blue_path,audio_corr,ITI,ITI_s,participant,age,gender,years of education,date,expName,psychopyVersion,OS,frameRate,outerLoop.thisRepN,outerLoop.thisTrialN,outerLoop.thisN,outerLoop.thisIndex,outerLoop.ran,thisCond
space,1.32322,1,[-0.3081198106010449],[-0.020207997279468412],[1],[0],[0],[12.760329999990063],"[""blue""]",0,0,0,0,1,20,80,right,0.4,-0.4,images/blue_box.png,80,Reward1.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,954,1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.3796887978199634],[-0.04639664048957531],[1],[0],[0],[15.197115000002668],"[""green""]",0,1,1,1,1,43,57,left,-0.4,0.4,images/green_box.png,43,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,813,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.30979870060008186],[-0.0679886028836431],[1],[0],[0],[6.092655000000377],"[""green""]",0,2,2,2,1,99,1,left,-0.4,0.4,images/blue_box.png,1,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,1202,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,"[0.5531361349191063,0.4147610657020416]","[-0.03092930680614407,-0.03289625641010208]","[1,1]","[0,0]","[0,0]","[5.5552650000026915,6.324479999995674]","[""blue""]",0,3,3,3,1,24,76,left,-0.4,0.4,images/blue_box.png,76,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,1082,1.1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.29147555170514733],[-0.04027102430722747],[1],[0],[0],[11.2060899999924],"[""green""]",0,4,4,4,1,86,14,left,-0.4,0.4,images/green_box.png,86,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,1006,1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.29147555170514733],[-0.04027102430722747],[1],[0],[0],[4.930449999999837],"[""blue""]",0,5,5,5,1,75,25,right,0.4,-0.4,images/blue_box.png,25,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,830,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.29147555170514733],[-0.04027102430722747],[1],[0],[0],[13.531724999993457],"[""green""]",0,6,6,6,1,91,9,left,-0.4,0.4,images/green_box.png,91,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,1228,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.29147555170514733],[-0.04027102430722747],[1],[0],[0],[4.788384999992559],"[""green""]",0,7,7,7,1,96,4,left,-0.4,0.4,images/blue_box.png,4,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,834,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.29147555170514733],[-0.04027102430722747],[1],[0],[0],[2.3427300000039395],"[""blue""]",0,8,8,8,1,36,64,right,0.4,-0.4,images/blue_box.png,64,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,1134,1.1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.29147555170514733],[-0.04027102430722747],[1],[0],[0],[3.6739749999978812],"[""green""]",0,9,9,9,1,11,89,left,-0.4,0.4,images/blue_box.png,89,Reward1.png,Reward5.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin5.wav,auditory_stim/silence_short.wav,795,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.2608334110771379],[-0.10539247956591873],[1],[0],[0],[38.19125500001246],"[""green""]",0,10,10,10,1,100,0,left,-0.4,0.4,images/blue_box.png,0,Reward5.png,Rewardnull.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,788,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.2608334110771379],[-0.10539247956591873],[1],[0],[0],[0.9822150000109104],"[""blue""]",0,11,11,11,1,35,65,right,0.4,-0.4,images/blue_box.png,65,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,1225,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.4033772096795551],[-0.04899472558443278],[1],[0],[0],[4.362244999996619],"[""green""]",0,12,12,12,1,97,3,right,0.4,-0.4,images/blue_box.png,3,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,1107,1.1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.4038943627214946],[0.06934463665555181],[1],[0],[0],[3.7431399999913992],"[""green""]",0,13,13,13,1,90,10,left,-0.4,0.4,images/blue_box.png,10,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,998,1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.4038943627214946],[0.06934463665555181],[1],[0],[0],[1.3937449999939417],"[""green""]",0,14,14,14,1,44,56,left,-0.4,0.4,images/green_box.png,44,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,1153,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.3922663660740081],[0.05036674699357184],[1],[0],[0],[3.842934999993304],"[""blue""]",0,15,15,15,1,30,70,left,-0.4,0.4,images/blue_box.png,70,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,1229,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.26227446146114214],[-0.04085208087562596],[1],[0],[0],[2.9289350000035483],"[""green""]",0,16,16,16,1,69,31,left,-0.4,0.4,images/blue_box.png,31,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,1191,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.43784411038015214],[-0.04173375204641756],[1],[0],[0],[5.557444999998552],"[""blue""]",0,17,17,17,1,19,81,left,-0.4,0.4,images/blue_box.png,81,Reward1.png,Reward5.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin5.wav,auditory_stim/silence_short.wav,1066,1.1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.28076134257030044],[-0.06372977846025135],[1],[0],[0],[13.352620000005118],"[""blue""]",0,18,18,18,1,35,65,right,0.4,-0.4,images/blue_box.png,65,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,1124,1.1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.32972094237528893],[0.06688296372423921],[1],[0],[0],[4.835030000002007],"[""green""]",0,19,19,19,1,56,44,right,0.4,-0.4,images/blue_box.png,44,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,919,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.29541344782237094],[-0.043591139312885205],[1],[0],[0],[1.6975249999959487],"[""blue""]",0,20,20,20,1,40,60,left,-0.4,0.4,images/green_box.png,40,Reward2.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,1224,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.3235159522763386],[-0.085092365282526],[1],[0],[0],[1.3245849999948405],"[""blue""]",0,21,21,21,1,0,100,right,0.4,-0.4,images/blue_box.png,100,Rewardnull.png,Reward5.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin5.wav,auditory_stim/silence_short.wav,1003,1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.3819415499506452],[-0.07729147983074923],[1],[0],[0],[2.8624800000106916],"[""green""]",0,22,22,22,1,99,1,right,0.4,-0.4,images/blue_box.png,1,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,1150,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.3819415499506452],[-0.07729147983074923],[1],[0],[0],[1.551130000007106],"[""green""]",0,23,23,23,1,93,7,right,0.4,-0.4,images/green_box.png,93,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,1186,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.33593369118054217],[-0.11695685482172091],[1],[0],[0],[2.588464999993448],"[""blue""]",0,24,24,24,1,31,69,right,0.4,-0.4,images/green_box.png,31,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,930,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.3039255480185863],[-0.05183596383257897],[1],[0],[0],[2.293120000002091],"[""blue""]",0,25,25,25,1,49,51,left,-0.4,0.4,images/green_box.png,49,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,942,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.2742962242091198],[-0.030648488660439135],[1],[0],[0],[2.123909999994794],"[""green""]",0,26,26,26,1,64,36,left,-0.4,0.4,images/green_box.png,64,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,848,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.34065074950043334],[0.01868921876504719],[1],[0],[0],[3.046524999997928],"[""green""]",0,27,27,27,1,76,24,right,0.4,-0.4,images/blue_box.png,24,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,1038,1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.3171200980023353],[-0.07312905145536402],[1],[0],[0],[1.6313200000004144],"[""blue""]",0,28,28,28,1,23,77,right,0.4,-0.4,images/blue_box.png,77,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,943,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.34289221624012906],[-0.03976628519537269],[1],[0],[0],[4.969364999997197],"[""green""]",0,29,29,29,1,65,35,right,0.4,-0.4,images/green_box.png,65,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,835,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.34289221624012906],[-0.03976628519537269],[1],[0],[0],[3.85964999999851],"[""green""]",0,30,30,30,1,88,12,right,0.4,-0.4,images/green_box.png,88,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,1242,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.3089697886321504],[0.005899344093075886],[1],[0],[0],[2.7917250000027707],"[""green""]",0,31,31,31,1,68,32,left,-0.4,0.4,images/blue_box.png,32,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,1234,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
