Column1;subject;type;condition;goal;block;block_num;block_instr_text;trial_num;stim_0;stim_0_value;stim_1;stim_1_value;position_changed;stim_left;stim_right;stim_left_name;stim_right_name;stim_left_name_feedback;stim_right_name_feedback;optimal_stim;optimal_choice;practice_round.thisRepN;practice_round.thisTrialN;practice_round.thisN;practice_round.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;BlockInstr_disp.started;BlockInstr_disp.stopped;iti.started;iti.stopped;left.started;left.stopped;right.started;right.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;chosen_stim_name;chosen_stim_0;chosen_stim_1;true_accuracy;left_feedback.started;left_feedback.stopped;right_feedback.started;right_feedback.stopped;cumulativePts_self;outcomeDescr;outcome;feedback_text.started;feedback_text.stopped;participant;date;expName;psychopyVersion;frameRate
1;0;0;self;win;self_win;1;Play to WIN points;0;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;0;0;0;9.79E+15;None;1.05E+15;None;1.03E+16;None;1.03E+16;None;left;0;6.05E+15;1.03E+16;None;stimuli/slot2_up.jpg;0;1;0;1.04E+16;None;1.04E+16;None;1900;self avoid win;0;1.05E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
2;0;0;self;win;self_win;1;Play to WIN points;1;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;1;1;1;1.07E+16;None;1.08E+16;None;1.07E+15;None;1.07E+15;None;right;1;5.21E+15;1.07E+15;None;stimuli/slot1_up.jpg;1;0;1;1.08E+16;None;1.08E+16;None;2000;self win;1;1.09E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
3;0;0;self;win;self_win;1;Play to WIN points;2;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;2;2;2;1.10E+16;None;1.12E+16;None;1.11E+16;None;1.11E+16;None;left;1;5.06E+15;1.11E+16;None;stimuli/slot1_up.jpg;1;0;1;1.11E+16;None;1.11E+16;None;2100;self win;1;1.12E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
4;0;0;self;win;self_win;1;Play to WIN points;3;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;3;3;3;1.14E+15;None;1.15E+16;None;1.14E+16;None;1.14E+16;None;right;1;4.90E+15;1.14E+16;None;stimuli/slot1_up.jpg;1;0;1;1.15E+16;None;1.15E+16;None;2200;self win;1;1.16E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
5;0;0;self;win;self_win;1;Play to WIN points;4;stimuli/slot1_up.jpg;0;stimuli/slot2_up.jpg;1;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot2_up.jpg;right;;;;;0;4;4;4;1.17E+16;None;1.19E+16;None;1.18E+16;None;1.18E+16;None;left;0;4.11E+16;1.18E+16;None;stimuli/slot1_up.jpg;1;0;1;1.18E+16;None;1.18E+16;None;2200;self avoid win;0;1.19E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
6;0;0;self;win;self_win;1;Play to WIN points;5;stimuli/slot1_up.jpg;0;stimuli/slot2_up.jpg;1;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot2_up.jpg;right;;;;;0;5;5;5;1.21E+16;None;1.22E+16;None;1.21E+16;None;1.21E+16;None;left;0;3.99E+15;1.21E+16;None;stimuli/slot1_up.jpg;1;0;1;1.22E+16;None;1.22E+16;None;2200;self avoid win;0;1.23E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
7;0;0;self;win;self_win;1;Play to WIN points;6;stimuli/slot1_up.jpg;0;stimuli/slot2_up.jpg;1;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot2_up.jpg;right;;;;;0;6;6;6;1.24E+16;None;1.26E+16;None;1.25E+15;None;1.25E+15;None;left;0;4.20E+16;1.25E+15;None;stimuli/slot1_up.jpg;1;0;1;1.25E+16;None;1.25E+16;None;2200;self avoid win;0;1.26E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
8;0;0;self;win;self_win;1;Play to WIN points;7;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;7;7;7;1.28E+16;None;1.30E+16;None;1.28E+15;None;1.28E+15;None;left;1;5.84E+15;1.28E+15;None;stimuli/slot1_up.jpg;1;0;1;1.29E+16;None;1.29E+16;None;2300;self win;1;1.30E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
9;0;0;self;win;self_win;1;Play to WIN points;8;stimuli/slot1_up.jpg;0;stimuli/slot2_up.jpg;1;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot2_up.jpg;left;;;;;0;8;8;8;1.32E+16;None;1.33E+16;None;1.32E+16;None;1.32E+16;None;left;1;2.61E+15;1.32E+16;None;stimuli/slot2_up.jpg;0;1;0;1.32E+16;None;1.32E+16;None;2400;self win;1;1.33E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
10;0;0;self;win;self_win;1;Play to WIN points;9;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;9;9;9;1.35E+16;None;1.36E+15;None;1.35E+15;None;1.35E+15;None;right;0;3.19E+16;1.35E+15;None;stimuli/slot2_up.jpg;0;1;0;1.36E+16;None;1.36E+16;None;2400;self avoid win;0;1.37E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
